taxon_pca,country,admin1_name,latitude,longitude,count
farauti_8,Papua New Guinea,Galf,-7.748,146.43,8
farauti_ss,Australia,Northern Territory,-14.184,129.496,10
farauti_ss,Australia,Northern Territory,-13.15,130.119,1
farauti_ss,Australia,Northern Territory,-12.493,130.955,1
farauti_ss,Australia,Northern Territory,-12.355,130.871,2
farauti_ss,Australia,Northern Territory,-12.179,136.786,10
farauti_ss,Australia,Northern Territory,-12.067,134.567,3
farauti_ss,Australia,Northern Territory,-11.683,130.067,2
farauti_ss,Australia,Northern Territory,130.073,-11.684,1
farauti_ss,Australia,Queensland,-21.104,149.119,13
farauti_ss,Australia,Queensland,-17.688,146.113,10
farauti_ss,Australia,Queensland,-16.84,145.73,10
farauti_ss,Australia,Queensland,-16.823,145.706,1
farauti_ss,Australia,Queensland,-11.594,142.851,2
farauti_ss,Australia,Queensland,-10.917,142.314,7
farauti_ss,Australia,Queensland,-10.7,142.533,2
farauti_ss,Australia,Queensland,-10.172,142.21,9
farauti_ss,Australia,Queensland,-10.168,142.2,3
farauti_ss,Australia,Queensland,-9.38,142.622,15
farauti_ss,Australia,Queensland,-9.267,142.283,2
farauti_ss,Papua New Guinea,Bogenvil,-6.613,155.922,3
farauti_ss,Papua New Guinea,Bogenvil,-5.435,154.666,6
farauti_ss,Papua New Guinea,Bogenvil,-5.415,154.622,1
farauti_ss,Papua New Guinea,Galf,-7.771,144.878,9
farauti_ss,Papua New Guinea,Is Sepik,-3.865,144.065,4
farauti_ss,Papua New Guinea,Madang,-4.056,144.741,2
farauti_ss,Papua New Guinea,Manus,-2.018,147.26,19
farauti_ss,Papua New Guinea,Milen Be,-10.383,150.322,11
farauti_ss,Papua New Guinea,Milen Be,-10.348,150.565,8
farauti_ss,Papua New Guinea,Milen Be,-9.62,149.432,4
farauti_ss,Papua New Guinea,Morobe,-7.123,147.041,10
farauti_ss,Papua New Guinea,Morobe,-6.943,146.947,3
farauti_ss,Papua New Guinea,Morobe,-6.478,147.837,6
farauti_ss,Papua New Guinea,Oro,-8.148,148.137,6
farauti_ss,Papua New Guinea,Sentral,-9.131,146.913,6
farauti_ss,Papua New Guinea,Sentral,-8.049,145.951,5
farauti_ss,Papua New Guinea,Westen,-9.806,143.219,2
farauti_ss,Papua New Guinea,Westen,-9.247,142.791,2
farauti_ss,Papua New Guinea,Westen,-9.02,143.24,5
farauti_ss,Papua New Guinea,Westen,-8.938,143.409,8
farauti_ss,Papua New Guinea,Westen,-8.601,143.558,10
farauti_ss,Papua New Guinea,Westen,-7.951,143.85,7
farauti_ss,Solomon Islands,Guadalcanal,-9.431,160.091,4
farauti_ss,Solomon Islands,Guadalcanal,-9.428,160.13,2
farauti_ss,Solomon Islands,Guadalcanal,-9.42,160.133,5
farauti_ss,Solomon Islands,Guadalcanal,-9.419,160.062,5
farauti_ss,Solomon Islands,Guadalcanal,-9.353,159.594,2
farauti_ss,Solomon Islands,Guadalcanal,-9.302,159.607,1
farauti_ss,Solomon Islands,Guadalcanal,-9.289,159.622,1
farauti_ss,Solomon Islands,Makira-Ulawa,-9.795,161.97,1
farauti_ss,Solomon Islands,Makira-Ulawa,-9.794,161.97,1
farauti_ss,Solomon Islands,Makira-Ulawa,-9.791,161.97,3
farauti_ss,Solomon Islands,Western,-8.407,157.338,1
farauti_ss,Solomon Islands,Western,-8.317,157.248,1
farauti_ss,Solomon Islands,Western,-8.28,157.246,1
farauti_ss,Solomon Islands,Western,-8.268,157.236,1
farauti_ss,Solomon Islands,Western,-8.257,157.237,6
farauti_ss,Vanuatu,Tafea,-19.48,169.334,4
farauti_ss,Vanuatu,Tafea,-19.462,169.231,5
hinesorum,Australia,Queensland,-17.48,145.868,1
hinesorum,Australia,Queensland,-17.47,145.877,1
hinesorum,Australia,Queensland,-16.674,145.329,7
hinesorum,Australia,Queensland,-16.673,145.328,1
hinesorum,Australia,Queensland,-14.916,141.638,7
hinesorum,Papua New Guinea,Bogenvil,-6.669,155.472,7
hinesorum,Papua New Guinea,Bogenvil,-6.662,155.449,5
hinesorum,Papua New Guinea,Galf,-7.863,146.391,4
hinesorum,Papua New Guinea,Galf,-7.8,146.443,10
hinesorum,Papua New Guinea,Galf,-7.748,146.43,3
hinesorum,Papua New Guinea,Galf,-7.137,143.997,3
hinesorum,Papua New Guinea,Hela,-6.205,143.011,7
hinesorum,Papua New Guinea,Is Sepik,-4.07,143.256,3
hinesorum,Papua New Guinea,Is Sepik,-3.865,144.065,1
hinesorum,Papua New Guinea,Is Sepik,-3.782,143.05,2
hinesorum,Papua New Guinea,Madang,-5.769,145.592,10
hinesorum,Papua New Guinea,Milen Be,-10.383,150.322,1
hinesorum,Papua New Guinea,Milen Be,-10.204,149.695,1
hinesorum,Papua New Guinea,Milen Be,-10.201,150.355,5
hinesorum,Papua New Guinea,Milen Be,-9.668,150.787,2
hinesorum,Papua New Guinea,Milen Be,-9.629,147.551,1
hinesorum,Papua New Guinea,Morobe,-6.206,147.672,1
hinesorum,Papua New Guinea,Oro,-8.575,147.957,1
hinesorum,Papua New Guinea,Sauten Hailans,-6.793,143.635,3
hinesorum,Papua New Guinea,Sauten Hailans,-6.468,142.837,2
hinesorum,Papua New Guinea,Sentral,-9.397,147.471,2
hinesorum,Papua New Guinea,Westen,-8.074,141.75,5
hinesorum,Papua New Guinea,Westen,-7.182,141.248,6
hinesorum,Papua New Guinea,Westen,-6.317,141.025,4
hinesorum,Papua New Guinea,Westen,-6.122,141.294,1
hinesorum,Solomon Islands,Guadalcanal,-9.577,160.139,2
hinesorum,Solomon Islands,Guadalcanal,-9.507,160.156,1
hinesorum,Solomon Islands,Guadalcanal,-9.496,160.071,1
hinesorum,Solomon Islands,Guadalcanal,-9.486,160.075,3
hinesorum,Solomon Islands,Guadalcanal,-9.473,160.36,1
hinesorum,Solomon Islands,Guadalcanal,-9.353,159.594,5
hinesorum,Solomon Islands,Western,-8.407,157.338,5
hinesorum,Solomon Islands,Western,-8.335,157.286,1
hinesorum,Solomon Islands,Western,-8.321,157.252,1
hinesorum,Solomon Islands,Western,-8.317,157.248,2
hinesorum,Solomon Islands,Western,-8.28,157.246,2
hinesorum,Solomon Islands,Western,-8.268,157.236,1
hinesorum,Solomon Islands,Western,-8.267,157.551,1
hinesorum,Solomon Islands,Western,-8.261,157.165,10
hinesorum,Solomon Islands,Western,-8.251,157.239,7
hinesorum,Solomon Islands,Western,-8.227,157.264,1
hinesorum,Solomon Islands,Western,-8.195,157.264,1
irenicus,Solomon Islands,Guadalcanal,-9.515,160.36,1
irenicus,Solomon Islands,Guadalcanal,-9.513,160.374,1
irenicus,Solomon Islands,Guadalcanal,-9.496,160.071,1
irenicus,Solomon Islands,Guadalcanal,-9.48,160.358,3
irenicus,Solomon Islands,Guadalcanal,-9.428,160.13,2
irenicus,Solomon Islands,Guadalcanal,-9.354,159.597,2
irenicus,Solomon Islands,Guadalcanal,-9.353,159.594,1
irenicus,Solomon Islands,Guadalcanal,-9.289,159.622,1
oreios,Indonesia,Papua Pegunungan,-4.091,138.947,11
punctulatus,Papua New Guinea,Bogenvil,-5.245,154.626,1
punctulatus,Solomon Islands,Guadalcanal,-9.517,160.1,1
punctulatus,Solomon Islands,Guadalcanal,-9.491,160.285,3
torresiensis,Australia,Northern Territory,-13.867,136.429,10
torresiensis,Australia,Queensland,-14.916,141.638,6
